"LINE","BLUP_Yield_per_plant","BLUP_Panicle_number","BLUP_Grain_number_per_panicle","BLUP_Seed_setting_rate","BLUP_Grain_weight","BLUP_Heading_date","BLUP_Height","BLUP_Panicle_length","BLUP_Grain_length","BLUP_Grain_width"
"Z136",45.9630885999179,13.413168887395,156.600802664051,0.827031110969173,30.9543785264615,87.3979759430097,114.870454394817,24.8924381911236,8.81917018010618,2.97262480823958
"Z137",46.0311657491887,13.413168887395,175.332587496601,0.801021451684132,30.693040152274,86.4744533326937,116.942274787237,26.1437280736608,8.70275611224519,2.9740353066279
"Z138",43.9664002963045,12.3187251039162,158.078145453605,0.825173278163099,32.4307110964333,88.3214985533257,122.602784073671,25.1389043801082,8.90492375272806,3.06947903090409
"Z139",45.346048906527,13.6867798332647,164.005439314643,0.809381699311467,28.9416145568416,88.3214985533257,114.241508918546,24.6775702314961,8.70419332295953,2.82969430489002
"Z140",47.2210674114437,13.8235853061996,165.836115388355,0.816813030535764,30.7847378274275,89.2450211636418,121.492880292017,26.0110155103614,8.75353755748496,2.87953191461059
"Z141",44.4617701909985,14.6444181438087,136.857665315255,0.809381699311467,30.3720982892366,84.8582887646406,103.734419785558,24.5954148351679,8.73820730986541,2.92560819529565
"Z142",45.1497839336292,13.5499743603298,146.902060052556,0.825173278163099,31.2432262031951,89.0141405110627,116.202338932801,25.0946668590084,8.94277030153883,2.91479437431854
"Z143",42.8836839329014,12.455530576851,151.477470043776,0.826102194566136,29.3450843275171,87.6288565955887,109.542916242879,25.3474526938644,9.52531971108186,2.64397868376147
"Z144",43.9997146459476,12.7291415227207,151.416020776966,0.816813030535764,33.1688773814192,87.8597372481677,116.313329310966,26.1058101984324,9.13487746702136,3.04738122282044
"Z145",43.8780448472508,12.7291415227207,157.100077956881,0.816813030535764,29.6522715392815,88.0906179007467,116.202338932801,24.9998721709374,8.87090976582217,2.83815729521993
"Z146",44.0728613701642,13.8235853061996,157.038628690071,0.801950368087169,26.442852908908,81.6259596285345,103.253461480174,24.6775702314961,9.43333822536454,2.49634651911752
